EventID,EventDate,X,Y,Z,ZoneID,PlumeID,SuperPlume,spatialdist
247434-2018,11/13/2018 0:00:00,2534366.61372261,6997171.89739135,316,47907,48371,2210,543.5110504074869
269366-2018,12/17/2018 0:00:00,2534655.87856,6997113.01234,350,47865,48371,2210,535.5551718247963
270115-2018,11/30/2018 0:00:00,2534126.23198552,6997167.44333202,333,47907,48371,2210,543.5110504074869
234109-2018,10/25/2018 0:00:00,2533592.00175478,6997446.910948928,297,48014,48371,2210,547.5029081396892
226802-2018,10/15/2018 0:00:00,2533900.26491778,6996669.99846077,287,47663,48371,2210,544.1246303218229
238983-2018,11/2/2018 0:00:00,2533696.19741252,6997669.67854802,305,48218,48371,2210,550.2677664036263
237513-2018,10/30/2018 0:00:00,2533271.31637253,6997648.8816736,302,48225,48371,2210,567.5822498299407
247282-2018,11/14/2018 0:00:00,2533417.41155277,6997761.9877466,317,48298,48371,2210,562.961133567652
228743-2018,10/17/2018 0:00:00,2533417.41155277,6997761.9877466,289,48298,48371,2210,562.961133567652
253108-2018,11/23/2018 0:00:00,2533533.64458802,6997582.60227861,326,48225,48371,2210,567.5822498299407
247583-2018,11/14/2018 0:00:00,2533228.12485786,6997445.38864227,317,48014,48371,2210,547.5029081396892
218614-2018,10/3/2018 0:00:00,2533230.21802953,6997890.63742368,275,48295,48371,2210,551.1958425082277
228736-2018,10/17/2018 0:00:00,2533078.64320144,6997154.1602221,289,47889,48371,2210,559.9853462565337
266595-2018,12/12/2018 0:00:00,2533271.31637253,6997648.8816736,345,48225,48371,2210,567.5822498299407
263121-2018,12/7/2018 0:00:00,2533295.49480186,6997760.33486277,340,48298,48371,2210,562.961133567652
278500-2018,12/30/2018 0:00:00,2533699.21873194,6997490.00567903,363,48218,48371,2210,550.2677664036263
006233-2019,1/9/2019 0:00:00,2532877.03960203,6997754.50318152,373,48298,48371,2210,562.961133567652
273135-2018,12/22/2018 0:00:00,2533176.492087109,6997759.05763435,355,48298,48371,2210,562.961133567652
018013-2019,1/26/2019 0:00:00,2532477.6571987,6997518.22248611,390,48163,48371,2210,550.5555281650592
007560-2019,1/11/2019 0:00:00,2533321.67048,6998065.98057,375,48428,48371,2210,549.2383661205905
020954-2019,1/30/2019 0:00:00,2533417.41155277,6997761.9877466,394,48298,48371,2210,562.961133567652
011161-2019,1/16/2019 0:00:00,2533672.90972944,6998322.88918385,380,48482,48371,2210,555.8489731679633
016600-2018,1/23/2018 0:00:00,2532536.03995594,6997644.36954352,22,48225,54276,2210,567.5822498299407
031575-2018,2/11/2018 0:00:00,2532869.8686846,6997885.49373318,41,48295,54276,2210,551.1958425082277
050612-2018,3/8/2018 0:00:00,2532744.10187578,6997759.73643877,66,48298,54276,2210,562.961133567652
051814-2018,3/10/2018 0:00:00,2533381.32533886,6998066.43431619,68,48428,54276,2210,549.2383661205905
029587-2018,2/9/2018 0:00:00,2533137.08305,6998374.12366,39,48540,54276,2210,561.953753124487
010118-2018,1/13/2018 0:00:00,2532996.25950794,6996992.37839344,12,47815,54276,2210,549.1416965624177
059398-2018,3/20/2018 0:00:00,2533555.24428,6997736.61083,78,48225,54276,2210,567.5822498299407
018211-2018,1/24/2018 0:00:00,2533503.72470036,6998579.04582377,23,48591,54276,2210,559.7926509684564
020517-2018,1/28/2018 0:00:00,2533230.21802953,6997890.63742368,27,48295,54276,2210,551.1958425082277
013367-2018,1/16/2018 0:00:00,2533387.87256986,6998857.68765494,15,48700,54276,2210,561.2581987000959
059591-2018,3/20/2018 0:00:00,2533078.64320144,6997154.1602221,78,47889,54276,2210,559.9853462565337
058659-2018,3/20/2018 0:00:00,2533304.91440244,6997276.29088335,78,47973,54276,2210,557.2051705770044
074746-2018,4/9/2018 0:00:00,2534095.96892269,6997810.252413848,98,48169,54276,2210,541.937194394842
010056-2018,1/14/2018 0:00:00,2533952.88981253,6998555.56588386,13,48775,54276,2210,542.391324832906
